year,homicide_type,day
2016,Shooting,Sunday
2016,Shooting,Sunday
2016,Other,Wednesday
2016,Shooting,Friday
2016,Shooting,Tuesday
2016,Shooting,Friday
2016,Shooting,Friday
2016,Other,Sunday
2016,Shooting,Wednesday
2016,Other,Monday
2016,Shooting,Thursday
2016,Stabbing,Friday
2016,Other,Tuesday
2016,Other,Monday
2016,Shooting,Sunday
2016,Other,Thursday
2016,Other,Thursday
2016,Other,Thursday
2016,Shooting,Saturday
2016,Shooting,Sunday
2016,Stabbing,Tuesday
2016,Other,Wednesday
2016,Stabbing,Friday
2016,Shooting,Friday
2016,Shooting,Sunday
2016,Shooting,Tuesday
2016,Shooting,Monday
2016,Shooting,Thursday
2016,Other,Saturday
2016,Shooting,Friday
2016,Shooting,Saturday
2016,Shooting,Sunday
2016,Other,Saturday
2016,Stabbing,Sunday
2016,Shooting,Wednesday
2016,Shooting,Wednesday
2016,Stabbing,Friday
2016,Shooting,Saturday
2016,Shooting,Sunday
2016,Stabbing,Saturday
2017,Shooting,Sunday
2017,Shooting,Monday
2017,Other,Thursday
2017,Shooting,Monday
2017,Shooting,Monday
2017,Shooting,Wednesday
2017,Shooting,Sunday
2017,Other,Monday
2017,Shooting,Monday
2017,Other,Thursday
2017,Shooting,Saturday
2017,Other,Saturday
2017,Shooting,Thursday
2017,Shooting,Saturday
2017,Shooting,Friday
2017,Shooting,Friday
2017,Shooting,Friday
2017,Shooting,Friday
2017,Shooting,Monday
2017,Other,Monday
2017,Other,Wednesday
2017,Shooting,Sunday
2017,Stabbing,Friday
2017,Shooting,Sunday
2017,Shooting,Sunday
2017,Shooting,Sunday
2017,Shooting,Sunday
2017,Shooting,Sunday
2017,Shooting,Monday
2017,Stabbing,Monday
2017,Shooting,Tuesday
2017,Stabbing,Thursday
2017,Shooting,Sunday
2017,Stabbing,Tuesday
2017,Shooting,Thursday
2017,Shooting,Saturday
2017,Stabbing,Wednesday
2017,Stabbing,Sunday
2017,Stabbing,Wednesday
2017,Shooting,Thursday
2017,Shooting,Saturday
2017,Shooting,Saturday
2017,Shooting,Friday
2017,Shooting,Sunday
2017,Shooting,Sunday
2017,Other,Wednesday
2017,Shooting,Thursday
2017,Stabbing,Saturday
2017,Shooting,Sunday
2017,Other,Friday
2017,Shooting,Saturday
2017,Stabbing,Friday
2017,Stabbing,Saturday
2017,Shooting,Monday
2017,Stabbing,Tuesday
2017,Shooting,Tuesday
2017,Other,Wednesday
2017,Shooting,Monday
2017,Other,Wednesday
2017,Other,Tuesday
2017,Other,Friday
2017,Other,Friday
2017,Shooting,Saturday
2017,Other,Sunday
2017,Other,Sunday
2018,Other,Wednesday
2018,Shooting,Tuesday
2018,Shooting,Friday
2018,Shooting,Friday
2018,Stabbing,Monday
2018,Shooting,Thursday
2018,Shooting,Thursday
2018,Other,Monday
2018,Shooting,Friday
2018,Stabbing,Tuesday
2018,Shooting,Saturday
2018,Shooting,Friday
2018,Shooting,Saturday
2018,Shooting,Saturday
2018,Shooting,Friday
2018,Other,Sunday
2018,Stabbing,Tuesday
2018,Stabbing,Saturday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Other,Monday
2018,Stabbing,Sunday
2018,Shooting,Monday
2018,Shooting,Sunday
2018,Shooting,Sunday
2018,Stabbing,Wednesday
2018,Stabbing,Friday
2018,Other,Friday
2018,Shooting,Monday
2018,Shooting,Monday
2018,Shooting,Wednesday
2018,Shooting,Tuesday
2018,Stabbing,Saturday
2018,Other,Saturday
2018,Other,Wednesday
2018,Stabbing,Saturday
2018,Other,Monday
2018,Stabbing,Saturday
2018,Shooting,Sunday
2018,Shooting,Sunday
2018,Shooting,Sunday
2018,Shooting,Monday
2018,Shooting,Saturday
2018,Shooting,Saturday
2018,Stabbing,Sunday
2018,Shooting,Sunday
2018,Other,Thursday
2018,Shooting,Sunday
2018,Shooting,Monday
2018,Stabbing,Saturday
2018,Shooting,Monday
2018,Shooting,Monday
2018,Shooting,Wednesday
2018,Other,Monday
2018,Shooting,Wednesday
2018,Stabbing,Saturday
2018,Stabbing,Saturday
2018,Stabbing,Saturday
2018,Shooting,Sunday
2018,Shooting,Wednesday
2018,Shooting,Wednesday
2018,Other,Friday
2018,Stabbing,Friday
2018,Other,Wednesday
2018,Shooting,Friday
2018,Shooting,Sunday
2018,Shooting,Sunday
2018,Shooting,Saturday
2018,Other,Saturday
2018,Stabbing,Tuesday
2018,Shooting,Friday
2018,Shooting,Tuesday
2018,Stabbing,Wednesday
2018,Shooting,Monday
2018,Shooting,Tuesday
2018,Shooting,Tuesday
2018,Shooting,Wednesday
2018,Other,Thursday
2018,Shooting,Thursday
2018,Other,Friday
2018,Other,Thursday
2018,Stabbing,Saturday
2018,Shooting,Wednesday
2018,Other,Friday
2018,Shooting,Sunday
2018,Stabbing,Thursday
2018,Shooting,Wednesday
2018,Shooting,Tuesday
2018,Shooting,Wednesday
2018,Shooting,Friday
2019,Stabbing,Sunday
2019,Stabbing,Tuesday
2019,Shooting,Wednesday
2019,Shooting,Saturday
2019,Stabbing,Thursday
2019,Shooting,Friday
2019,Shooting,Sunday
2019,Shooting,Tuesday
2019,Shooting,Wednesday
2019,Shooting,Sunday
2019,Other,Monday
2019,Shooting,Friday
2019,Shooting,Monday
2019,Other,Wednesday
2019,Other,Monday
2019,Shooting,Tuesday
2019,Other,Wednesday
2019,Stabbing,Wednesday
2019,Stabbing,Monday
2019,Shooting,Sunday
2019,Shooting,Sunday
2019,Other,Sunday
2019,Shooting,Wednesday
2019,Shooting,Friday
2019,Stabbing,Sunday
2019,Other,Tuesday
2019,Other,Thursday
2019,Stabbing,Saturday
2019,Shooting,Thursday
2019,Stabbing,Thursday
2019,Shooting,Saturday
2019,Shooting,Saturday
2019,Shooting,Sunday
2019,Other,Monday
2019,Other,Thursday
2019,Shooting,Friday
2019,Stabbing,Wednesday
2019,Shooting,Friday
2019,Shooting,Friday
2019,Shooting,Monday
2019,Shooting,Wednesday
2019,Shooting,Sunday
2019,Other,Tuesday
2019,Other,Wednesday
2019,Stabbing,Wednesday
2019,Shooting,Monday
2019,Shooting,Thursday
2019,Other,Sunday
2019,Shooting,Tuesday
2019,Other,Tuesday
2019,Shooting,Sunday
2019,Shooting,Tuesday
2019,Shooting,Tuesday
